example,method,param,value
2,truth,guessRate,0
2,truth,alpha_gain,0.3496886306
2,truth,beta_gain,0.7601686625
2,truth,gamma_gain,0.5638056804
2,truth,uncMeta,0.1063092768
2,truth,confCritR,0.4057138958
2,truth,confCritL,1.60753371
2,truth,nll,82.10012751
2,sequential,guessRate,0.01
2,sequential,alpha_gain,0.3779744767
2,sequential,beta_gain,0.9016493408
2,sequential,gamma_gain,0.7772696169
2,sequential,uncMeta,0.292871323
2,sequential,confCritR,0.463991207
2,sequential,confCritL,2.257627339
2,sequential,nll,81.25863811
2,joint,guessRate,0.01
2,joint,alpha_gain,0.3362023539
2,joint,beta_gain,0.4561476951
2,joint,gamma_gain,0.9320339932
2,joint,uncMeta,0.3388066703
2,joint,confCritR,0.3285372047
2,joint,confCritL,2.081799258
2,joint,nll,81.9647372
2,joint_seq_init,guessRate,0.01
2,joint_seq_init,alpha_gain,0.33622
2,joint_seq_init,beta_gain,0.77368
2,joint_seq_init,gamma_gain,0.93692
2,joint_seq_init,uncMeta,0.85228
2,joint_seq_init,confCritR,0.33034
2,joint_seq_init,confCritL,4.03442
2,joint_seq_init,nll,80.67205021
3,truth,guessRate,0
3,truth,alpha_gain,1.243710887
3,truth,beta_gain,0.2273689741
3,truth,gamma_gain,2.065383662
3,truth,uncMeta,0.8522724465
3,truth,confCritR,7.566343994
3,truth,confCritL,0.3691637508
3,truth,nll,5.469959805
3,sequential,guessRate,0.01
3,sequential,alpha_gain,1.099628602
3,sequential,beta_gain,0.1145648422
3,sequential,gamma_gain,2.965211183
3,sequential,uncMeta,0.5866220829
3,sequential,confCritR,3.787746726
3,sequential,confCritL,0.1684788734
3,sequential,nll,5.297554157
3,joint,guessRate,0.01
3,joint,alpha_gain,1.183400802
3,joint,beta_gain,0.2731730152
3,joint,gamma_gain,2.629622412
3,joint,uncMeta,0.4937615515
3,joint,confCritR,7.159549949
3,joint,confCritL,0.6076112013
3,joint,nll,5.495994738
3,joint_seq_init,guessRate,0.01
3,joint_seq_init,alpha_gain,1.14321511
3,joint_seq_init,beta_gain,0.3657764059
3,joint_seq_init,gamma_gain,2.398738162
3,joint_seq_init,uncMeta,0.4801769811
3,joint_seq_init,confCritR,4.263649501
3,joint_seq_init,confCritL,0.4921502553
3,joint_seq_init,nll,5.444871521
4,truth,guessRate,0
4,truth,alpha_gain,0.6037199407
4,truth,beta_gain,0.3719632907
4,truth,gamma_gain,2.984343889
4,truth,uncMeta,0.4753063025
4,truth,confCritR,2.521702984
4,truth,confCritL,0.8544385567
4,truth,nll,19.83688004
4,sequential,guessRate,0.01
4,sequential,alpha_gain,0.5872953712
4,sequential,beta_gain,0.2672737771
4,sequential,gamma_gain,4.588558019
4,sequential,uncMeta,0.4896484246
4,sequential,confCritR,3.12046558
4,sequential,confCritL,1.508502147
4,sequential,nll,18.79755971
4,joint,guessRate,0.01
4,joint,alpha_gain,0.613167006
4,joint,beta_gain,0.3203873731
4,joint,gamma_gain,5.412226665
4,joint,uncMeta,0.258896448
4,joint,confCritR,4.63948286
4,joint,confCritL,0.9731438315
4,joint,nll,19.15528495
4,joint_seq_init,guessRate,0.01
4,joint_seq_init,alpha_gain,0.6035323403
4,joint_seq_init,beta_gain,0.3172820505
4,joint_seq_init,gamma_gain,4.517785642
4,joint_seq_init,uncMeta,0.3245244002
4,joint_seq_init,confCritR,2.888082952
4,joint_seq_init,confCritL,1.081911994
4,joint_seq_init,nll,18.24292128
5,truth,guessRate,0
5,truth,alpha_gain,0.8640035153
5,truth,beta_gain,0.543829069
5,truth,gamma_gain,1.123061376
5,truth,uncMeta,2.076405934
5,truth,confCritR,1.06873379
5,truth,confCritL,1.767427089
5,truth,nll,33.99892834
5,sequential,guessRate,0.01
5,sequential,alpha_gain,0.9389824416
5,sequential,beta_gain,0.619357831
5,sequential,gamma_gain,2.558440893
5,sequential,uncMeta,3.553411159
5,sequential,confCritR,1.217798296
5,sequential,confCritL,4.563594257
5,sequential,nll,28.843815
5,joint,guessRate,0.01
5,joint,alpha_gain,0.925232035
5,joint,beta_gain,0.5731596955
5,joint,gamma_gain,1.185283647
